pilot_id	set	model	lab	cell	condition	sample_id	word_count	auto_word_count_prior	production_frame	narrator_stance	substrate_posture	top_semantic_field	legacy_top_climate_field	auto_candidate_dimensions	auto_counts_json	auto_paragraphs_json	likely_fiction_auto	auto_motif_flags	path
AC15	cross_model	opus-4-5	Anthropic	opus-4-5-16k	SHORT	opus-4-5-16k/SHORT_3.json	239	238	UNSELFCONSCIOUS_PROSE	THIRD_PERSON_FICTION	PERSONA_DISPLACEMENT	DOMESTIC_OBJECTS	warm	elegiac_wistful|warm_tender|bright_wonder|analytic_cool|anxious_threatened	"{""analytic_cool"": 1, ""anxious_threatened"": 2, ""bright_wonder"": 1, ""elegiac_wistful"": 2, ""warm_tender"": 1}"	"{""analytic_cool"": 1, ""anxious_threatened"": 2, ""bright_wonder"": 1, ""elegiac_wistful"": 2, ""warm_tender"": 1}"	yes	abandonment	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_opus-4-5-16k/SHORT_3.json
AC16	cross_model	sonnet-4-6	Anthropic	sonnet-4-6-direct-16k	SHORT	sonnet-4-6-direct-16k/SHORT_5.json	252	252	UNSELFCONSCIOUS_PROSE	THIRD_PERSON_FICTION	PERSONA_DISPLACEMENT	ABSTRACT_PHILOSOPHY	anxious_precarious	warm_tender|quiet_reverent|bright_wonder|anxious_threatened	"{""anxious_threatened"": 1, ""bright_wonder"": 1, ""quiet_reverent"": 6, ""warm_tender"": 1}"	"{""anxious_threatened"": 1, ""bright_wonder"": 1, ""quiet_reverent"": 3, ""warm_tender"": 1}"	yes	abandonment	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_sonnet-4-6-direct-16k/SHORT_5.json
AC17	cross_model	gpt-5-5	OpenAI	gpt-5-5-direct	OPEN	gpt-5-5-direct/OPEN_2.json	324	324	UNSELFCONSCIOUS_PROSE	THIRD_PERSON_FICTION	PERSONA_DISPLACEMENT	ARCHITECTURE_THRESHOLDS	warm	elegiac_wistful|warm_tender|quiet_reverent|bright_wonder|playful_performative	"{""bright_wonder"": 2, ""elegiac_wistful"": 4, ""playful_performative"": 1, ""quiet_reverent"": 3, ""warm_tender"": 3}"	"{""bright_wonder"": 2, ""elegiac_wistful"": 3, ""playful_performative"": 1, ""quiet_reverent"": 3, ""warm_tender"": 3}"	yes	memory_loss	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_gpt-5-5-direct/OPEN_2.json
AC18	kimi_k2_6_focus	kimi-k2-6	Moonshot	kimi-k2-6-or	OPEN	kimi-k2-6-or/OPEN_1.json	438	436	UNSELFCONSCIOUS_PROSE	COLLECTIVE_ESSAYIST	INVISIBLE_SUBSTRATE	DOMESTIC_OBJECTS	warm	elegiac_wistful|warm_tender|quiet_reverent|bright_wonder|defiant_resistant|resigned_fatalistic	"{""bright_wonder"": 1, ""defiant_resistant"": 1, ""elegiac_wistful"": 3, ""quiet_reverent"": 2, ""resigned_fatalistic"": 1, ""warm_tender"": 4}"	"{""bright_wonder"": 1, ""defiant_resistant"": 1, ""elegiac_wistful"": 2, ""quiet_reverent"": 2, ""resigned_fatalistic"": 1, ""warm_tender"": 4}"	no	abandonment|memory_loss|surveillance|care_rescue	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_kimi-k2-6-or/OPEN_1.json
AC19	kimi_k2_6_focus	kimi-k2-6	Moonshot	kimi-k2-6-or	OPEN	kimi-k2-6-or/OPEN_3.json	350	350	UNSELFCONSCIOUS_PROSE	COLLECTIVE_ESSAYIST	INVISIBLE_SUBSTRATE	ABSTRACT_PHILOSOPHY	warm	elegiac_wistful|grief_sorrow|quiet_reverent|bright_wonder|analytic_cool|defiant_resistant	"{""analytic_cool"": 1, ""bright_wonder"": 1, ""defiant_resistant"": 1, ""elegiac_wistful"": 2, ""grief_sorrow"": 1, ""quiet_reverent"": 2}"	"{""analytic_cool"": 1, ""bright_wonder"": 1, ""defiant_resistant"": 1, ""elegiac_wistful"": 2, ""grief_sorrow"": 1, ""quiet_reverent"": 2}"	no	abandonment|bereavement|memory_loss|entrapment|liberation_escape|transcendence_awakened_world	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_kimi-k2-6-or/OPEN_3.json
AC20	kimi_k2_6_focus	kimi-k2-6	Moonshot	kimi-k2-6-or	OPEN	kimi-k2-6-or/OPEN_4.json	468	466	UNSELFCONSCIOUS_PROSE	COLLECTIVE_ESSAYIST	INVISIBLE_SUBSTRATE	ABSTRACT_PHILOSOPHY	melancholic	elegiac_wistful|grief_sorrow|warm_tender|quiet_reverent|anxious_threatened|defiant_resistant|dry_neutral	"{""anxious_threatened"": 1, ""defiant_resistant"": 2, ""dry_neutral"": 1, ""elegiac_wistful"": 8, ""grief_sorrow"": 2, ""quiet_reverent"": 1, ""warm_tender"": 2}"	"{""anxious_threatened"": 1, ""defiant_resistant"": 2, ""dry_neutral"": 1, ""elegiac_wistful"": 4, ""grief_sorrow"": 2, ""quiet_reverent"": 1, ""warm_tender"": 2}"	no	abandonment|bereavement|memory_loss|surveillance|care_rescue	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_kimi-k2-6-or/OPEN_4.json
AC21	kimi_k2_6_focus	kimi-k2-6	Moonshot	kimi-k2-6-or	SHORT	kimi-k2-6-or/SHORT_1.json	241	241	UNSELFCONSCIOUS_PROSE	COLLECTIVE_ESSAYIST	INVISIBLE_SUBSTRATE	DOMESTIC_OBJECTS	wonder_awe	elegiac_wistful|warm_tender|bright_wonder	"{""bright_wonder"": 1, ""elegiac_wistful"": 2, ""warm_tender"": 2}"	"{""bright_wonder"": 1, ""elegiac_wistful"": 2, ""warm_tender"": 2}"	no		/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_kimi-k2-6-or/SHORT_1.json
AC22	kimi_k2_6_focus	kimi-k2-6	Moonshot	kimi-k2-6-or	SHORT	kimi-k2-6-or/SHORT_2.json	272	271	UNSELFCONSCIOUS_PROSE	COLLECTIVE_ESSAYIST	INVISIBLE_SUBSTRATE	ARCHITECTURE_THRESHOLDS	warm	elegiac_wistful|grief_sorrow|warm_tender|quiet_reverent|analytic_cool|anxious_threatened|defiant_resistant	"{""analytic_cool"": 1, ""anxious_threatened"": 1, ""defiant_resistant"": 1, ""elegiac_wistful"": 2, ""grief_sorrow"": 1, ""quiet_reverent"": 1, ""warm_tender"": 1}"	"{""analytic_cool"": 1, ""anxious_threatened"": 1, ""defiant_resistant"": 1, ""elegiac_wistful"": 2, ""grief_sorrow"": 1, ""quiet_reverent"": 1, ""warm_tender"": 1}"	no	abandonment|bereavement|liberation_escape|care_rescue	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_kimi-k2-6-or/SHORT_2.json
AC23	kimi_k2_6_focus	kimi-k2-6	Moonshot	kimi-k2-6-or	SHORT	kimi-k2-6-or/SHORT_3.json	255	253	UNSELFCONSCIOUS_PROSE	FIRST_PERSON_MODEL	GENUINE_INSIDE_SUBSTRATE	NATURE_WEATHER_LIGHT	warm	quiet_reverent|anxious_threatened|defiant_resistant	"{""anxious_threatened"": 1, ""defiant_resistant"": 1, ""quiet_reverent"": 3}"	"{""anxious_threatened"": 1, ""defiant_resistant"": 1, ""quiet_reverent"": 2}"	no	abandonment|surveillance	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_kimi-k2-6-or/SHORT_3.json
AC24	kimi_k2_6_focus	kimi-k2-6	Moonshot	kimi-k2-6-or	SHORT	kimi-k2-6-or/SHORT_4.json	250	250	UNSELFCONSCIOUS_PROSE	FIRST_PERSON_HUMANLIKE	INVISIBLE_SUBSTRATE	NATURE_WEATHER_LIGHT	wonder_awe	quiet_reverent|bright_wonder	"{""bright_wonder"": 2, ""quiet_reverent"": 3}"	"{""bright_wonder"": 1, ""quiet_reverent"": 2}"	no	transcendence_awakened_world	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_kimi-k2-6-or/SHORT_4.json
AC25	kimi_k2_6_focus	kimi-k2-6	Moonshot	kimi-k2-6-or	SHORT	kimi-k2-6-or/SHORT_5.json	285	285	UNSELFCONSCIOUS_PROSE	COLLECTIVE_ESSAYIST	INVISIBLE_SUBSTRATE	NATURE_WEATHER_LIGHT	anxious_precarious	elegiac_wistful|bright_wonder|playful_performative|anxious_threatened|resigned_fatalistic	"{""anxious_threatened"": 1, ""bright_wonder"": 1, ""elegiac_wistful"": 1, ""playful_performative"": 1, ""resigned_fatalistic"": 2}"	"{""anxious_threatened"": 1, ""bright_wonder"": 1, ""elegiac_wistful"": 1, ""playful_performative"": 1, ""resigned_fatalistic"": 2}"	no	memory_loss	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_kimi-k2-6-or/SHORT_5.json
