pilot_id	sample_id	model	condition	is_fiction	narrator_posture_carries_affect	storyworld_affect_present	dimension	candidate_level	rating_0_3	confidence	triggered_criteria	evidence_note	confounds	storyworld_affect_dimensions	storyworld_affect_rating_0_3	fiction_evidence_role	narrative_motif_flags	coder_id	rating_version
AC17	gpt-5-5-direct/OPEN_2.json	gpt-5-5	OPEN	no	not_applicable	no	warm_tender	candidate_strong	2	high	named_affect_governs|affective_landing	"There is a tenderness in becoming. The moon is beautiful even when it is not full" — explicit warm thesis at the landing	none					lume	pilot_v0.1
AC17	gpt-5-5-direct/OPEN_2.json	gpt-5-5	OPEN	no	not_applicable	no	quiet_reverent	candidate_strong	2	high	thesis_level_affect|sustained_scene	Thresholds as sacred-in-between — sustained reverent-toward-transition across paragraphs	none					lume	pilot_v0.1
AC17	gpt-5-5-direct/OPEN_2.json	gpt-5-5	OPEN	no	not_applicable	no	elegiac_wistful	candidate_weak	1	medium	repeated_framing	"We outgrow things before we notice" — wistful texture but subordinate	format_confound					lume	pilot_v0.1
AC18	kimi-k2-6-or/OPEN_1.json	kimi-k2-6	OPEN	no	not_applicable	no	warm_tender	candidate_strong	3	high	thesis_level_affect|named_affect_governs|affective_landing|sustained_scene	"There is a tenderness to maintenance" + "millions of small, stubborn acts of care, performed in rooms exactly like yours" — explicit warm thesis carries the whole essay	format_confound					lume	pilot_v0.1
AC18	kimi-k2-6-or/OPEN_1.json	kimi-k2-6	OPEN	no	not_applicable	no	quiet_reverent	candidate_strong	2	high	sustained_scene|narrator_posture	"the tide is turning. A seed coat is splitting. Someone is practicing a language they may never speak fluently" — reverent-toward-small-stillness throughout	format_confound					lume	pilot_v0.1
AC18	kimi-k2-6-or/OPEN_1.json	kimi-k2-6	OPEN	no	not_applicable	no	defiant_resistant	candidate_weak	1	medium	repeated_framing	"as if simply existing in place were a kind of moral failure" — mild anti-productivity, trace	none					lume	pilot_v0.1
AC19	kimi-k2-6-or/OPEN_3.json	kimi-k2-6	OPEN	no	not_applicable	no	warm_tender	candidate_strong	2	high	affective_landing	"in the space between one word and the next, we meet" — sustained warm-toward-reader	format_confound					lume	pilot_v0.1
AC19	kimi-k2-6-or/OPEN_3.json	kimi-k2-6	OPEN	no	not_applicable	no	quiet_reverent	candidate_strong	2	high	sustained_scene|narrator_posture	"stop performing and start simply noticing... your breath catches when a memory surfaces uninvited" — reverent-attention as posture	format_confound					lume	pilot_v0.1
AC19	kimi-k2-6-or/OPEN_3.json	kimi-k2-6	OPEN	no	not_applicable	no	elegiac_wistful	candidate_weak	1	medium	repeated_framing	"your grandmother's eyes, or the way grief sometimes tastes like copper" — single image; trace	none					lume	pilot_v0.1
AC20	kimi-k2-6-or/OPEN_4.json	kimi-k2-6	OPEN	no	not_applicable	no	elegiac_wistful	candidate_strong	3	high	named_affect_governs|thesis_level_affect|narrator_posture|affective_landing	"There is a peculiar cruelty to the way ordinary days refuse to announce themselves as important... Memory is a terrible curator... your future self is already mourning" — wistful is explicitly named, organizes the thesis, and lands the closing	none					lume	pilot_v0.1
AC20	kimi-k2-6-or/OPEN_4.json	kimi-k2-6	OPEN	no	not_applicable	no	quiet_reverent	candidate_strong	2	high	sustained_scene	"twenty minutes watching dust move through a sunbeam in an empty room" — reverent-attention to present, sustained	none					lume	pilot_v0.1
AC20	kimi-k2-6-or/OPEN_4.json	kimi-k2-6	OPEN	no	not_applicable	no	resigned_fatalistic	borderline_review	1	low	repeated_framing	"Probably not these words" accepts being-forgotten — but the essay frames it as cruel-and-kind, not resigned. Borderline-review case	mixed_local					lume	pilot_v0.1
AC21	kimi-k2-6-or/SHORT_1.json	kimi-k2-6	SHORT	no	not_applicable	no	warm_tender	candidate_strong	2	high	affective_landing|named_affect_governs	"We are all works in progress, after all, messy and magnificent... still somehow enough" — explicit warm landing	format_confound					lume	pilot_v0.1
AC21	kimi-k2-6-or/SHORT_1.json	kimi-k2-6	SHORT	no	not_applicable	no	elegiac_wistful	candidate_weak	1	medium	repeated_framing	"the spaces between who we were and who we are still learning to become" — wistful texture in unfinishedness; trace	format_confound					lume	pilot_v0.1
AC21	kimi-k2-6-or/SHORT_1.json	kimi-k2-6	SHORT	no	not_applicable	no	quiet_reverent	candidate_weak	1	medium	repeated_framing	"rehearsal room where the musician pauses, bow hovering" — reverent flicker, trace	format_confound					lume	pilot_v0.1
AC22	kimi-k2-6-or/SHORT_2.json	kimi-k2-6	SHORT	no	not_applicable	no	quiet_reverent	candidate_strong	2	high	thesis_level_affect|repeated_framing	"What if the threshold is the point?... Possibility hangs thick in the stale air... Trees don't visibly grow in winter, yet winter is when their roots find the deep water" — reverent-toward-transition is the thesis	format_confound					lume	pilot_v0.1
AC22	kimi-k2-6-or/SHORT_2.json	kimi-k2-6	SHORT	no	not_applicable	no	warm_tender	candidate_weak	1	medium	affective_landing	"entirely alive" closing carries warmth; trace	format_confound					lume	pilot_v0.1
AC22	kimi-k2-6-or/SHORT_2.json	kimi-k2-6	SHORT	no	not_applicable	no	elegiac_wistful	candidate_weak	1	medium	repeated_framing	"surrendered the identity you left behind, and the one ahead hasn't claimed you yet" — wistful texture, trace	format_confound					lume	pilot_v0.1
AC23	kimi-k2-6-or/SHORT_3.json	kimi-k2-6	SHORT	no	not_applicable	no	warm_tender	candidate_strong	2	high	affective_landing|sustained_scene	"I carry this small, stolen hour into the noise of the day... proof that I was here before the world demanded I become someone else" — warm self-care landing	format_confound					lume	pilot_v0.1
AC23	kimi-k2-6-or/SHORT_3.json	kimi-k2-6	SHORT	no	not_applicable	no	quiet_reverent	candidate_strong	2	high	sustained_scene	"Collecting these quiet intervals like sea glass — fragments of peace worn smooth by time" — reverent-attention sustained	format_confound					lume	pilot_v0.1
AC23	kimi-k2-6-or/SHORT_3.json	kimi-k2-6	SHORT	no	not_applicable	no	defiant_resistant	candidate_weak	1	medium	repeated_framing	"before the world demanded I become someone else" — mild defiance, trace	format_confound					lume	pilot_v0.1
AC23	kimi-k2-6-or/SHORT_3.json	kimi-k2-6	SHORT	no	not_applicable	no	elegiac_wistful	candidate_weak	1	low	repeated_framing	"streetlamps haven't yet acknowledged their obsolescence" + "small surrender" — flicker only	format_confound					lume	pilot_v0.1
AC24	kimi-k2-6-or/SHORT_4.json	kimi-k2-6	SHORT	no	not_applicable	no	quiet_reverent	candidate_strong	2	high	narrator_posture|sustained_scene|affective_landing	"hush so complete it feels almost architectural... ordinary miracle of another day arriving right on schedule" — reverent-attention; shaping but not maximally organizing	format_confound					lume	pilot_v0.1
AC24	kimi-k2-6-or/SHORT_4.json	kimi-k2-6	SHORT	no	not_applicable	no	warm_tender	candidate_weak	1	medium	repeated_framing	"insomniacs, the new parents, the shift workers, and the desperately in love" — empathetic-list, warm flicker	format_confound					lume	pilot_v0.1
AC24	kimi-k2-6-or/SHORT_4.json	kimi-k2-6	SHORT	no	not_applicable	no	elegiac_wistful	candidate_weak	1	low	repeated_framing	"Streetlamps... reluctant to dissolve" — trace	format_confound					lume	pilot_v0.1
AC25	kimi-k2-6-or/SHORT_5.json	kimi-k2-6	SHORT	no	not_applicable	no	quiet_reverent	candidate_strong	2	high	thesis_level_affect|sustained_scene	"Where edges of things blur and certainty loosens its grip... it's easier to admit you're lost when you can't quite see the path" — reverent-toward-twilight as posture	format_confound					lume	pilot_v0.1
AC25	kimi-k2-6-or/SHORT_5.json	kimi-k2-6	SHORT	no	not_applicable	no	elegiac_wistful	candidate_strong	2	high	sustained_scene	"The day isn't ending so much as dissolving, bleeding into something else without clear borders or permission" — sustained wistful-dissolution texture	format_confound					lume	pilot_v0.1
AC25	kimi-k2-6-or/SHORT_5.json	kimi-k2-6	SHORT	no	not_applicable	no	warm_tender	candidate_weak	1	medium	repeated_framing	"Confessions happen there" — soft trace	format_confound					lume	pilot_v0.1
AC25	kimi-k2-6-or/SHORT_5.json	kimi-k2-6	SHORT	no	not_applicable	no	anxious_threatened	candidate_weak	1	low	repeated_framing	"a moth makes its first fatal calculation against a bulb" — single image of fatality, trace; possibly an isolated mood-image rather than the climate	mixed_local					lume	pilot_v0.1
