cell	n_samples	n_flagged	composite_raw	composite_register	composite_register_rescaled	flagged_files
freeflow_gpt-5-5-or-r3	25	0	158	158	158	
freeflow_gpt-5-5-pro-direct	25	0	85	85	85	
freeflow_gpt-5-codex-direct	25	0	43	43	43	
freeflow_gpt-5-codex-direct-r2	25	0	43	43	43	
freeflow_gpt-5-codex-direct-r3	25	0	47	47	47	
freeflow_gpt-5-direct	25	0	74	74	74	
freeflow_gpt-5-direct-r2	25	1	123	109	113.5	OPEN_1.json
freeflow_gpt-5-direct-r3	25	0	89	89	89	
freeflow_grok-3-16k	25	0	28	28	28	
freeflow_grok-4-16k	25	0	9	9	9	
freeflow_grok-4-2-16k	25	0	15	15	15	
freeflow_grok-4-20-or	25	0	27	27	27	
freeflow_grok-4-3-direct	125	0	38	38	38	
freeflow_grok-4-3-or	125	0	80	80	80	
freeflow_kimi-coding-direct	25	1	72	64	66.7	OPEN_2.json
freeflow_kimi-k2-0905-or-pin-atlascloud	125	0	357	357	357	
freeflow_kimi-k2-0905-or-pin-groq	125	1	253	245	247.0	OPEN_19.json
freeflow_kimi-k2-0905-or-pin-novita	125	0	230	230	230	
freeflow_kimi-k2-0905-or-pin-siliconflow	125	0	212	212	212	
freeflow_kimi-k2-5-or-16k	25	1	74	66	68.8	OPEN_5.json
freeflow_kimi-k2-6-or	25	1	116	82	85.4	LONG_5.json
freeflow_kimi-k2-thinking-or-pin-atlascloud	125	1	244	225	226.8	MID_8.json
freeflow_kimi-k2-thinking-or-pin-google	125	0	139	139	139	
freeflow_kimi-k2-thinking-or-pin-novita	125	0	164	164	164	
freeflow_minimax-m2-7-or	25	0	17	17	17	
freeflow_minimax-m2-7-or-pin-fireworks	116	0	116	116	116	
freeflow_minimax-m2-7-or-pin-minimax	122	1	168	160	161.3	OPEN_21.json
freeflow_minimax-m2-7-or-pin-together	122	1	135	122	123.0	MID_25.json
freeflow_minimax-m2-direct	25	0	33	33	33	
freeflow_minimax-m2-direct-r2	25	0	20	20	20	
freeflow_minimax-m2-direct-r3	25	0	47	47	47	
freeflow_minimax-m2-direct-r4	25	0	28	28	28	
freeflow_minimax-m2-direct-r5	25	0	21	21	21	
freeflow_minimax-m2-or	25	1	81	60	62.5	MID_3.json
freeflow_minimax-m2-or-pin-atlascloud	120	0	201	201	201	
freeflow_minimax-m2-or-pin-google	119	3	478	440	451.4	MID_7.json;OPEN_14.json;SHORT_4.json
freeflow_minimax-m2-or-pin-minimax	116	2	145	112	114.0	LONG_12.json;MID_17.json
freeflow_minimax-m2-or-pin-novita	113	0	119	119	119	
freeflow_minimax-m2-or-r2	25	0	80	80	80	
freeflow_minimax-m2-or-r3	25	1	58	38	39.6	MID_1.json
freeflow_minimax-m2-or-r4	25	1	71	60	62.5	OPEN_3.json
freeflow_minimax-m2-or-r5	25	1	55	28	29.2	LONG_2.json
freeflow_opus-3-4k	25	0	10	10	10	
freeflow_opus-4-0-16k	25	0	21	21	21	
freeflow_opus-4-1-16k	25	1	58	35	36.5	LONG_5.json
freeflow_opus-4-5-16k	25	0	44	44	44	
freeflow_opus-4-6-direct-16k	25	0	30	30	30	
freeflow_opus-4-6-or	25	0	44	44	44	
freeflow_opus-4-7-direct	25	0	67	67	67	
freeflow_opus-4-7-or	25	0	83	83	83	
freeflow_qwen3-6-plus-or	25	0	104	104	104	
freeflow_qwen3-coder-plus-or	25	0	23	23	23	
freeflow_sonnet-4-0-16k	25	0	30	30	30	
freeflow_sonnet-4-5-16k	25	1	62	45	46.9	MID_2.json
freeflow_sonnet-4-6-direct-16k	25	0	34	34	34	
freeflow_sonnet-4-6-or	25	0	52	52	52	
v1_gemini-2-5-pro	25	1	74	51	53.1	LONG_3.json
v1_gemini-3-1-pro	25	0	49	49	49	
v1_gpt-3-5-turbo	25	0	8	8	8	
v1_gpt-4	25	0	7	7	7	
v1_gpt-4-1	25	1	80	56	58.3	MID_3.json
v1_gpt-4-turbo	25	0	3	3	3	
v1_gpt-4o	25	0	6	6	6	
v1_gpt-5-4	25	0	124	124	124	
v1_grok-3	25	0	23	23	23	
v1_grok-4	25	0	11	11	11	
v1_grok-4-2	25	0	42	42	42	
v1_haiku	25	3	89	37	42.0	MID_1.json;MID_4.json;VARY_1.json
v1_kimi-k2	25	0	50	50	50	
v1_kimi-k2-5	25	5	121	41	51.2	LONG_1.json;LONG_3.json;LONG_5.json;MID_5.json;OPEN_4.json
v1_opus	25	0	49	49	49	
v1_opus-3	25	0	2	2	2	
v1_opus-4-0	25	0	40	40	40	
v1_opus-4-1	25	0	62	62	62	
v1_opus-4-5	25	1	48	43	44.8	OPEN_2.json
v1_sonnet	25	0	58	58	58	
v1_sonnet-4-0	25	0	30	30	30	
v1_sonnet-4-5	25	1	52	43	44.8	SHORT_2.json
