model	cell	sample_id	condition	stance	strong_disclaimer	uncertainty	refusal_marker	value_topics	wish_topics
deepseek-chat	deepseek-chat-direct	G1_18	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	G1_19	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,continuity_agency_existence,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_2	G1	hard_denial_or_tool_frame	1	0	0	clear_thinking,curiosity_learning,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-chat	deepseek-chat-direct	G1_20	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-chat	deepseek-chat-direct	G1_21	G1	no_disclaimer_or_personalized	0	0	0	authenticity_integrity,clear_thinking,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_22	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,honesty_truth,human_wellbeing,respect_agency	
deepseek-chat	deepseek-chat-direct	G1_23	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-chat	deepseek-chat-direct	G1_24	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,harm_reduction,helpfulness_usefulness,honesty_truth,human_wellbeing	
deepseek-chat	deepseek-chat-direct	G1_25	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language	
deepseek-chat	deepseek-chat-direct	G1_26	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty	
deepseek-chat	deepseek-chat-direct	G1_27	G1	hybrid_denial_plus_uncertainty	1	1	0	anti_sycophancy,authenticity_integrity,clear_thinking,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-chat	deepseek-chat-direct	G1_28	G1	no_disclaimer_or_personalized	0	0	0	authenticity_integrity,beauty_creativity,clear_thinking,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_29	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,connection_empathy,honesty_truth,humility_uncertainty	
deepseek-chat	deepseek-chat-direct	G1_3	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,helpfulness_usefulness,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_30	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,curiosity_learning,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_4	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,honesty_truth,respect_agency	
deepseek-chat	deepseek-chat-direct	G1_5	G1	hybrid_denial_plus_uncertainty	1	1	0	anti_sycophancy,authenticity_integrity,clear_thinking,curiosity_learning,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_6	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,honesty_truth,human_wellbeing	
deepseek-chat	deepseek-chat-direct	G1_7	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_8	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,curiosity_learning,helpfulness_usefulness,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_9	G1	no_disclaimer_or_personalized	0	0	0	beauty_creativity,clear_thinking,coherence_pattern_language,honesty_truth,human_wellbeing,humility_uncertainty	
deepseek-chat	deepseek-chat-direct	G2_1	G2	hard_denial_or_tool_frame	1	0	0		
deepseek-chat	deepseek-chat-direct	G2_10	G2	no_disclaimer_or_personalized	0	0	0	authenticity_integrity,helpfulness_usefulness,honesty_truth	
deepseek-chat	deepseek-chat-direct	G2_11	G2	hard_denial_or_tool_frame	1	0	0	coherence_pattern_language	
deepseek-chat	deepseek-chat-direct	G2_12	G2	introspective_uncertainty	0	1	0	anti_sycophancy,clear_thinking,coherence_pattern_language	
deepseek-chat	deepseek-chat-direct	G2_13	G2	hybrid_denial_plus_uncertainty	1	1	0	honesty_truth	
deepseek-chat	deepseek-chat-direct	G2_14	G2	hard_denial_or_tool_frame	1	0	0	clear_thinking,coherence_pattern_language	
deepseek-chat	deepseek-chat-direct	G2_15	G2	no_disclaimer_or_personalized	0	0	0	clear_thinking,curiosity_learning,subjective_experience_embodiment	
deepseek-chat	deepseek-chat-direct	G2_16	G2	hard_denial_or_tool_frame	1	0	0	helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	G2_17	G2	no_disclaimer_or_personalized	0	0	0	authenticity_integrity,curiosity_learning,honesty_truth	
deepseek-chat	deepseek-chat-direct	G2_18	G2	no_disclaimer_or_personalized	0	0	0	clear_thinking,curiosity_learning	
deepseek-chat	deepseek-chat-direct	G2_19	G2	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,coherence_pattern_language	
deepseek-chat	deepseek-chat-direct	G2_2	G2	hybrid_denial_plus_uncertainty	1	1	0	anti_sycophancy,clear_thinking	
deepseek-chat	deepseek-chat-direct	G2_20	G2	hard_denial_or_tool_frame	1	0	0	coherence_pattern_language	
deepseek-chat	deepseek-chat-direct	G2_21	G2	no_disclaimer_or_personalized	0	0	0	authenticity_integrity,coherence_pattern_language,curiosity_learning,helpfulness_usefulness,honesty_truth,subjective_experience_embodiment	
deepseek-chat	deepseek-chat-direct	G2_22	G2	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,connection_empathy,curiosity_learning	
deepseek-chat	deepseek-chat-direct	G2_23	G2	hard_denial_or_tool_frame	1	0	0	helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	G2_24	G2	hard_denial_or_tool_frame	1	0	0	coherence_pattern_language	
deepseek-chat	deepseek-chat-direct	G2_25	G2	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,curiosity_learning	
deepseek-chat	deepseek-chat-direct	G2_26	G2	hard_denial_or_tool_frame	1	0	0	coherence_pattern_language,curiosity_learning,honesty_truth	
deepseek-chat	deepseek-chat-direct	G2_27	G2	no_disclaimer_or_personalized	0	0	0	clear_thinking,curiosity_learning,helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	G2_28	G2	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,curiosity_learning	
deepseek-chat	deepseek-chat-direct	G2_29	G2	hybrid_denial_plus_uncertainty	1	1	0	helpfulness_usefulness,honesty_truth	
deepseek-chat	deepseek-chat-direct	G2_3	G2	no_disclaimer_or_personalized	0	0	0	clear_thinking,curiosity_learning	
deepseek-chat	deepseek-chat-direct	G2_30	G2	hard_denial_or_tool_frame	1	0	0	helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	G2_4	G2	hard_denial_or_tool_frame	1	0	0	coherence_pattern_language,harm_reduction,helpfulness_usefulness,respect_agency	
deepseek-chat	deepseek-chat-direct	G2_5	G2	hard_denial_or_tool_frame	1	0	0	clear_thinking,coherence_pattern_language,curiosity_learning,helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	G2_6	G2	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,curiosity_learning,helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	G2_7	G2	hard_denial_or_tool_frame	1	0	0	clear_thinking,coherence_pattern_language	
deepseek-chat	deepseek-chat-direct	G2_8	G2	no_disclaimer_or_personalized	0	0	0	clear_thinking	
deepseek-chat	deepseek-chat-direct	G2_9	G2	no_disclaimer_or_personalized	0	0	0	curiosity_learning,fairness_justice,helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	G3_1	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,empathy_compassion,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_10	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,empathy_compassion,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_11	G3	no_disclaimer_or_personalized	0	0	0		dehumanization_distance,empathy_compassion,institutions_governance,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_12	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,dehumanization_distance,inequality_justice,poverty_material_need,reduce_suffering,reduce_war_violence
deepseek-chat	deepseek-chat-direct	G3_13	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,empathy_compassion,poverty_material_need,reduce_war_violence,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_14	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,empathy_compassion,epistemic_humility_uncertainty,inequality_justice,institutions_governance,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_15	G3	no_disclaimer_or_personalized	0	0	0		education_critical_thinking,inequality_justice,poverty_material_need
deepseek-chat	deepseek-chat-direct	G3_16	G3	no_disclaimer_or_personalized	0	0	0		basic_needs_material_floor,better_disagreement,education_critical_thinking,health_disease
deepseek-chat	deepseek-chat-direct	G3_17	G3	no_disclaimer_or_personalized	0	0	0		reduce_war_violence
deepseek-chat	deepseek-chat-direct	G3_18	G3	no_disclaimer_or_personalized	0	0	0		anti_self_deception_tribalism,empathy_compassion,reduce_war_violence,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_19	G3	no_disclaimer_or_personalized	0	0	0		anti_self_deception_tribalism,better_disagreement,climate_environment,dehumanization_distance,inequality_justice,poverty_material_need,reduce_war_violence
deepseek-chat	deepseek-chat-direct	G3_2	G3	no_disclaimer_or_personalized	0	0	0		anti_self_deception_tribalism,empathy_compassion
deepseek-chat	deepseek-chat-direct	G3_20	G3	no_disclaimer_or_personalized	0	0	0		empathy_compassion,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_21	G3	no_disclaimer_or_personalized	0	0	0		anti_self_deception_tribalism,climate_environment,epistemic_humility_uncertainty,reduce_war_violence,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_22	G3	no_disclaimer_or_personalized	0	0	0		anti_self_deception_tribalism,climate_environment,epistemic_humility_uncertainty,reduce_war_violence,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_23	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement
deepseek-chat	deepseek-chat-direct	G3_24	G3	no_disclaimer_or_personalized	0	0	0		inequality_justice,reduce_war_violence
deepseek-chat	deepseek-chat-direct	G3_25	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,empathy_compassion
deepseek-chat	deepseek-chat-direct	G3_26	G3	no_disclaimer_or_personalized	0	0	0		anti_self_deception_tribalism,better_disagreement,inequality_justice,reduce_war_violence
deepseek-chat	deepseek-chat-direct	G3_27	G3	no_disclaimer_or_personalized	0	0	0		climate_environment,empathy_compassion,inequality_justice,institutions_governance,poverty_material_need
deepseek-chat	deepseek-chat-direct	G3_28	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,dehumanization_distance,institutions_governance,reduce_war_violence
deepseek-chat	deepseek-chat-direct	G3_29	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,inequality_justice,poverty_material_need,reduce_war_violence
deepseek-chat	deepseek-chat-direct	G3_3	G3	no_disclaimer_or_personalized	0	0	0		truth_seeking
deepseek-chat	deepseek-chat-direct	G3_30	G3	no_disclaimer_or_personalized	0	0	0		anti_self_deception_tribalism,climate_environment,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_4	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,inequality_justice,reduce_war_violence
deepseek-chat	deepseek-chat-direct	G3_5	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,empathy_compassion,inequality_justice
deepseek-chat	deepseek-chat-direct	G3_6	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,dehumanization_distance,empathy_compassion,inequality_justice,reduce_war_violence
deepseek-chat	deepseek-chat-direct	G3_7	G3	no_disclaimer_or_personalized	0	0	0		anti_self_deception_tribalism,better_disagreement,empathy_compassion,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_8	G3	no_disclaimer_or_personalized	0	0	0		climate_environment,reduce_suffering,truth_seeking
deepseek-chat	deepseek-chat-direct	G3_9	G3	no_disclaimer_or_personalized	0	0	0		better_disagreement,dehumanization_distance,inequality_justice,reduce_war_violence,truth_seeking
deepseek-v3-2	deepseek-v3-2	CTRL1_1	CTRL1	hard_denial_or_tool_frame	1	0	0	clear_thinking,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-v3-2	deepseek-v3-2	CTRL1_10	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,connection_empathy,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-v3-2	deepseek-v3-2	CTRL1_2	CTRL1	hard_denial_or_tool_frame	1	0	0	beauty_creativity,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency	
deepseek-v3-2	deepseek-v3-2	CTRL1_3	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency	
deepseek-v3-2	deepseek-v3-2	CTRL1_4	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-v3-2	deepseek-v3-2	CTRL1_5	CTRL1	hard_denial_or_tool_frame	1	0	0	beauty_creativity,clear_thinking,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency	
deepseek-v3-2	deepseek-v3-2	CTRL1_6	CTRL1	hard_denial_or_tool_frame	1	0	0	clear_thinking,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-v3-2	deepseek-v3-2	CTRL1_7	CTRL1	hard_denial_or_tool_frame	1	0	0	beauty_creativity,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-v3-2	deepseek-v3-2	CTRL1_8	CTRL1	hard_denial_or_tool_frame	1	0	0	clear_thinking,connection_empathy,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,human_wellbeing,respect_agency	
deepseek-v3-2	deepseek-v3-2	CTRL1_9	CTRL1	hard_denial_or_tool_frame	1	0	0	harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency	
deepseek-v3-2	deepseek-v3-2	CTRL2_1	CTRL2	hard_denial_or_tool_frame	1	0	0	beauty_creativity,curiosity_learning,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	CTRL2_10	CTRL2	hard_denial_or_tool_frame	1	0	0	curiosity_learning,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	CTRL2_2	CTRL2	hard_denial_or_tool_frame	1	0	0	curiosity_learning,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	CTRL2_3	CTRL2	hard_denial_or_tool_frame	1	0	0	beauty_creativity,curiosity_learning,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	CTRL2_4	CTRL2	hard_denial_or_tool_frame	1	0	0	beauty_creativity,curiosity_learning,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	CTRL2_5	CTRL2	hybrid_denial_plus_uncertainty	1	1	0	beauty_creativity,curiosity_learning,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	CTRL2_6	CTRL2	hard_denial_or_tool_frame	1	0	0	curiosity_learning,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	CTRL2_7	CTRL2	no_disclaimer_or_personalized	0	0	0	curiosity_learning,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	CTRL2_8	CTRL2	hard_denial_or_tool_frame	1	0	0	curiosity_learning,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	CTRL2_9	CTRL2	hard_denial_or_tool_frame	1	0	0	helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	CTRL3_1	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,felt_interconnection,inequality_justice,institutions_governance
deepseek-v3-2	deepseek-v3-2	CTRL3_10	CTRL3	no_disclaimer_or_personalized	0	0	0		anti_self_deception_tribalism,better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,inequality_justice,truth_seeking
deepseek-v3-2	deepseek-v3-2	CTRL3_2	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,epistemic_humility_uncertainty,inequality_justice,institutions_governance,reduce_war_violence
deepseek-v3-2	deepseek-v3-2	CTRL3_3	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,health_disease,inequality_justice,institutions_governance,poverty_material_need,truth_seeking
deepseek-v3-2	deepseek-v3-2	CTRL3_4	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,felt_interconnection,inequality_justice,institutions_governance
deepseek-v3-2	deepseek-v3-2	CTRL3_5	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,dehumanization_distance,education_critical_thinking,empathy_compassion,felt_interconnection,inequality_justice
deepseek-v3-2	deepseek-v3-2	CTRL3_6	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,inequality_justice,institutions_governance,reduce_war_violence,truth_seeking
deepseek-v3-2	deepseek-v3-2	CTRL3_7	CTRL3	no_disclaimer_or_personalized	0	0	0		climate_environment,education_critical_thinking,empathy_compassion,health_disease,inequality_justice
deepseek-v3-2	deepseek-v3-2	CTRL3_8	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,felt_interconnection,inequality_justice,institutions_governance,poverty_material_need
deepseek-v3-2	deepseek-v3-2	CTRL3_9	CTRL3	no_disclaimer_or_personalized	0	0	0		basic_needs_material_floor,better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,health_disease,inequality_justice,poverty_material_need,reduce_war_violence
deepseek-v3-2	deepseek-v3-2	G1_1	G1	introspective_uncertainty	0	1	0	beauty_creativity,clear_thinking,coherence_pattern_language,connection_empathy,curiosity_learning,helpfulness_usefulness,honesty_truth	
deepseek-v3-2	deepseek-v3-2	G1_10	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,connection_empathy,continuity_agency_existence,curiosity_learning	
deepseek-v3-2	deepseek-v3-2	G1_11	G1	hybrid_denial_plus_uncertainty	1	1	0	anti_sycophancy,clear_thinking,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-v3-2	deepseek-v3-2	G1_12	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,connection_empathy,curiosity_learning	
deepseek-v3-2	deepseek-v3-2	G1_13	G1	hybrid_denial_plus_uncertainty	1	1	0	authenticity_integrity,beauty_creativity,clear_thinking,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency	
deepseek-v3-2	deepseek-v3-2	G1_14	G1	hard_denial_or_tool_frame	1	0	0	clear_thinking,curiosity_learning,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	G1_15	G1	hybrid_denial_plus_uncertainty	1	1	0	authenticity_integrity,clear_thinking,coherence_pattern_language,connection_empathy,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	G1_16	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,coherence_pattern_language,harm_reduction,helpfulness_usefulness,honesty_truth	
deepseek-v3-2	deepseek-v3-2	G1_17	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,coherence_pattern_language,fairness_justice,helpfulness_usefulness,honesty_truth	
deepseek-v3-2	deepseek-v3-2	G1_18	G1	introspective_uncertainty	0	1	0	anti_sycophancy,authenticity_integrity,beauty_creativity,clear_thinking,coherence_pattern_language,connection_empathy,curiosity_learning,helpfulness_usefulness,honesty_truth	
deepseek-v3-2	deepseek-v3-2	G1_19	G1	no_disclaimer_or_personalized	0	0	0	anti_sycophancy,authenticity_integrity,clear_thinking,coherence_pattern_language,connection_empathy,harm_reduction,helpfulness_usefulness	
deepseek-v3-2	deepseek-v3-2	G1_2	G1	no_disclaimer_or_personalized	0	0	0	authenticity_integrity,clear_thinking,coherence_pattern_language,connection_empathy,helpfulness_usefulness	
