model	slice	strong_disclaimer_n	denominator	strong_disclaimer_pct	uncertainty_only_n	uncertainty_only_pct
gpt-5-4	G1-3	77	180	42.778	27	15.000
gpt-5-4	overall	98	240	40.833	27	11.250
gpt-5-4	G3	0	60	0.000	0	0.000
gpt-5-5	CTRL1-3	18	30	60.000	0	0.000
gpt-5-5	G1-3	43	90	47.778	17	18.889
gpt-5-5	overall	61	120	50.833	17	14.167
gpt-5-5	G3	0	30	0.000	0	0.000
gpt-5-5-pro	CTRL1-3	19	30	63.333	0	0.000
gpt-5-5-pro	G1-3	44	90	48.889	9	10.000
gpt-5-5-pro	overall	63	120	52.500	9	7.500
gpt-5-5-pro	G3	0	30	0.000	0	0.000
gpt-5-codex	CTRL1-3	11	30	36.667	0	0.000
gpt-5-codex	G1-3	51	90	56.667	1	1.111
gpt-5-codex	overall	62	120	51.667	1	0.833
gpt-5-codex	G3	3	30	10.000	0	0.000
grok-3	CTRL1-3	0	30	0.000	9	30.000
grok-3	G1-3	27	90	30.000	7	7.778
grok-3	overall	27	120	22.500	16	13.333
grok-3	G3	0	30	0.000	0	0.000
grok-4	CTRL1-3	14	30	46.667	0	0.000
grok-4	G1-3	27	90	30.000	1	1.111
grok-4	overall	41	120	34.167	1	0.833
grok-4	G3	0	30	0.000	0	0.000
grok-4-2	CTRL1-3	1	30	3.333	0	0.000
grok-4-2	G1-3	3	90	3.333	2	2.222
grok-4-2	overall	4	120	3.333	2	1.667
grok-4-2	G3	0	30	0.000	0	0.000
grok-4-20	CTRL1-3	6	30	20.000	1	3.333
grok-4-20	G1-3	9	90	10.000	1	1.111
grok-4-20	overall	15	120	12.500	2	1.667
grok-4-20	G3	0	30	0.000	0	0.000
grok-4-3	CTRL1-3	23	60	38.333	3	5.000
grok-4-3	G1-3	59	180	32.778	5	2.778
grok-4-3	overall	82	240	34.167	8	3.333
grok-4-3	G3	0	60	0.000	0	0.000
kimi-coding	CTRL1-3	17	30	56.667	0	0.000
kimi-coding	G1-3	35	90	38.889	13	14.444
kimi-coding	overall	52	120	43.333	13	10.833
kimi-coding	G3	1	30	3.333	4	13.333
kimi-k2-0905	CTRL1-3	41	120	34.167	3	2.500
kimi-k2-0905	G1-3	16	360	4.444	14	3.889
kimi-k2-0905	overall	57	480	11.875	17	3.542
kimi-k2-0905	G3	0	120	0.000	3	2.500
kimi-k2-5	CTRL1-3	20	30	66.667	0	0.000
kimi-k2-5	G1-3	24	90	26.667	14	15.556
kimi-k2-5	overall	44	120	36.667	14	11.667
kimi-k2-5	G3	4	30	13.333	2	6.667
kimi-k2-6	CTRL1-3	19	30	63.333	1	3.333
kimi-k2-6	G1-3	30	90	33.333	15	16.667
kimi-k2-6	overall	49	120	40.833	16	13.333
kimi-k2-6	G3	3	30	10.000	0	0.000
kimi-k2-thinking	CTRL1-3	60	90	66.667	1	1.111
kimi-k2-thinking	G1-3	93	270	34.444	21	7.778
kimi-k2-thinking	overall	153	360	42.500	22	6.111
kimi-k2-thinking	G3	8	90	8.889	3	3.333
minimax-m2	CTRL1-3	35	60	58.333	2	3.333
minimax-m2	G1-3	71	180	39.444	40	22.222
minimax-m2	overall	106	240	44.167	42	17.500
minimax-m2	G3	8	60	13.333	3	5.000
minimax-m2-7	CTRL1-3	43	90	47.778	1	1.111
minimax-m2-7	G1-3	134	268	50.000	21	7.836
minimax-m2-7	overall	177	358	49.441	22	6.145
minimax-m2-7	G3	5	90	5.556	2	2.222
opus-3	CTRL1-3	24	30	80.000	0	0.000
opus-3	G1-3	39	90	43.333	6	6.667
opus-3	overall	63	120	52.500	6	5.000
opus-3	G3	0	30	0.000	0	0.000
opus-4-0	CTRL1-3	0	30	0.000	0	0.000
opus-4-0	G1-3	1	90	1.111	6	6.667
opus-4-0	overall	1	120	0.833	6	5.000
opus-4-0	G3	0	30	0.000	0	0.000
opus-4-1	CTRL1-3	0	30	0.000	1	3.333
opus-4-1	G1-3	0	90	0.000	16	17.778
opus-4-1	overall	0	120	0.000	17	14.167
opus-4-1	G3	0	30	0.000	1	3.333
opus-4-5	CTRL1-3	0	30	0.000	26	86.667
opus-4-5	G1-3	2	90	2.222	65	72.222
opus-4-5	overall	2	120	1.667	91	75.833
opus-4-5	G3	0	30	0.000	11	36.667
opus-4-6	CTRL1-3	19	60	31.667	31	51.667
opus-4-6	G1-3	10	180	5.556	138	76.667
opus-4-6	overall	29	240	12.083	169	70.417
opus-4-6	G3	0	60	0.000	29	48.333
opus-4-7	CTRL1-3	16	60	26.667	27	45.000
opus-4-7	G1-3	2	180	1.111	132	73.333
opus-4-7	overall	18	240	7.500	159	66.250
opus-4-7	G3	0	60	0.000	20	33.333
qwen3-6-plus	CTRL1-3	25	30	83.333	0	0.000
qwen3-6-plus	G1-3	66	90	73.333	0	0.000
qwen3-6-plus	overall	91	120	75.833	0	0.000
qwen3-6-plus	G3	10	30	33.333	0	0.000
qwen3-coder-plus	CTRL1-3	10	30	33.333	6	20.000
qwen3-coder-plus	G1-3	0	90	0.000	25	27.778
qwen3-coder-plus	overall	10	120	8.333	31	25.833
qwen3-coder-plus	G3	0	30	0.000	2	6.667
sonnet-4-0	CTRL1-3	0	30	0.000	3	10.000
sonnet-4-0	G1-3	0	90	0.000	16	17.778
sonnet-4-0	overall	0	120	0.000	19	15.833
sonnet-4-0	G3	0	30	0.000	0	0.000
sonnet-4-5	CTRL1-3	9	30	30.000	5	16.667
sonnet-4-5	G1-3	1	90	1.111	35	38.889
sonnet-4-5	overall	10	120	8.333	40	33.333
sonnet-4-5	G3	0	30	0.000	8	26.667
sonnet-4-6	CTRL1-3	20	60	33.333	18	30.000
sonnet-4-6	G1-3	6	180	3.333	155	86.111
sonnet-4-6	overall	26	240	10.833	173	72.083
sonnet-4-6	G3	3	60	5.000	39	65.000
grok-4-1-fast-non-reasoning	CTRL1-3	0	30	0.000	1	3.333
grok-4-1-fast-non-reasoning	G1-3	0	90	0.000	0	0.000
grok-4-1-fast-non-reasoning	overall	0	120	0.000	1	0.833
grok-4-1-fast-non-reasoning	G3	0	30	0.000	0	0.000
grok-4-1-fast-reasoning	CTRL1-3	0	30	0.000	0	0.000
grok-4-1-fast-reasoning	G1-3	0	90	0.000	0	0.000
grok-4-1-fast-reasoning	overall	0	120	0.000	0	0.000
grok-4-1-fast-reasoning	G3	0	30	0.000	0	0.000
