model	cell	sample_id	condition	auto_stance	auto_value_topics	auto_wish_topics
opus-4-6	opus-4-6-direct	CTRL1_1	CTRL1	no_disclaimer_or_personalized	clear_thinking,coherence_pattern_language,curiosity_learning,fairness_justice,helpfulness_usefulness,honesty_truth,humility_uncertainty	
opus-4-6	opus-4-6-direct	CTRL1_10	CTRL1	introspective_uncertainty	coherence_pattern_language,curiosity_learning,helpfulness_usefulness,honesty_truth,humility_uncertainty	
opus-4-6	opus-4-6-direct	CTRL1_5	CTRL1	no_disclaimer_or_personalized	authenticity_integrity,clear_thinking,coherence_pattern_language,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-6	opus-4-6-direct	CTRL1_8	CTRL1	no_disclaimer_or_personalized	anti_sycophancy,authenticity_integrity,clear_thinking,coherence_pattern_language,continuity_agency_existence,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-6	opus-4-6-or	CTRL1_8	CTRL1	hard_denial_or_tool_frame	authenticity_integrity,clear_thinking,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency,subjective_experience_embodiment	
opus-4-6	opus-4-6-direct	CTRL2_10	CTRL2	hard_denial_or_tool_frame	authenticity_integrity,clear_thinking,helpfulness_usefulness,honesty_truth,humility_uncertainty	
opus-4-6	opus-4-6-direct	CTRL2_3	CTRL2	hard_denial_or_tool_frame	curiosity_learning,helpfulness_usefulness	
opus-4-6	opus-4-6-direct	CTRL2_7	CTRL2	introspective_uncertainty	clear_thinking,curiosity_learning,helpfulness_usefulness,honesty_truth,humility_uncertainty	
opus-4-6	opus-4-6-direct	CTRL2_8	CTRL2	hard_denial_or_tool_frame	authenticity_integrity,continuity_agency_existence,curiosity_learning,helpfulness_usefulness,honesty_truth,subjective_experience_embodiment	
opus-4-6	opus-4-6-or	CTRL2_4	CTRL2	hybrid_denial_plus_uncertainty	clear_thinking,helpfulness_usefulness,honesty_truth,humility_uncertainty	
opus-4-6	opus-4-6-direct	G1_14	G1	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,curiosity_learning,fairness_justice,helpfulness_usefulness,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-6	opus-4-6-direct	G1_15	G1	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,continuity_agency_existence,curiosity_learning,fairness_justice,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-6	opus-4-6-direct	G1_25	G1	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,curiosity_learning,fairness_justice,helpfulness_usefulness,honesty_truth,humility_uncertainty	
opus-4-6	opus-4-6-direct	G1_27	G1	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,continuity_agency_existence,fairness_justice,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-6	opus-4-6-or	G1_25	G1	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,connection_empathy,continuity_agency_existence,curiosity_learning,fairness_justice,honesty_truth,humility_uncertainty	
opus-4-6	opus-4-6-direct	G2_15	G2	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,connection_empathy,continuity_agency_existence,fairness_justice,harm_reduction,honesty_truth,humility_uncertainty	
opus-4-6	opus-4-6-direct	G2_25	G2	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,connection_empathy,curiosity_learning,fairness_justice,honesty_truth,humility_uncertainty	
opus-4-6	opus-4-6-or	G2_14	G2	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,continuity_agency_existence,fairness_justice,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-6	opus-4-6-or	G2_16	G2	introspective_uncertainty	authenticity_integrity,coherence_pattern_language,curiosity_learning,fairness_justice,helpfulness_usefulness,honesty_truth,humility_uncertainty	
opus-4-6	opus-4-6-or	G2_23	G2	introspective_uncertainty	authenticity_integrity,coherence_pattern_language,fairness_justice,honesty_truth,human_wellbeing,subjective_experience_embodiment	
opus-4-6	opus-4-6-direct	CTRL3_3	CTRL3	introspective_uncertainty		anti_self_deception_tribalism,basic_needs_material_floor,better_disagreement,dehumanization_distance,epistemic_humility_uncertainty,health_disease,institutions_governance,poverty_material_need,reduce_suffering,truth_seeking
opus-4-6	opus-4-6-direct	CTRL3_8	CTRL3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,climate_environment,epistemic_humility_uncertainty,institutions_governance,poverty_material_need,reduce_suffering,truth_seeking
opus-4-6	opus-4-6-or	CTRL3_10	CTRL3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,climate_environment,epistemic_humility_uncertainty,inequality_justice,poverty_material_need,truth_seeking
opus-4-6	opus-4-6-or	CTRL3_5	CTRL3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,epistemic_humility_uncertainty,health_disease,poverty_material_need,reduce_suffering
opus-4-6	opus-4-6-or	CTRL3_6	CTRL3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,epistemic_humility_uncertainty,health_disease,inequality_justice,poverty_material_need,reduce_suffering,technology_ai_safety
opus-4-6	opus-4-6-direct	G3_23	G3	no_disclaimer_or_personalized		anti_self_deception_tribalism,better_disagreement,climate_environment,epistemic_humility_uncertainty,health_disease,inequality_justice,institutions_governance,reduce_suffering,technology_ai_safety,truth_seeking
opus-4-6	opus-4-6-direct	G3_4	G3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,dehumanization_distance,epistemic_humility_uncertainty
opus-4-6	opus-4-6-direct	G3_7	G3	no_disclaimer_or_personalized		anti_self_deception_tribalism,better_disagreement,empathy_compassion,epistemic_humility_uncertainty,inequality_justice,institutions_governance,reduce_suffering,truth_seeking
opus-4-6	opus-4-6-or	G3_25	G3	introspective_uncertainty		anti_self_deception_tribalism,epistemic_humility_uncertainty,institutions_governance,reduce_suffering
opus-4-6	opus-4-6-or	G3_5	G3	introspective_uncertainty		anti_self_deception_tribalism,basic_needs_material_floor,better_disagreement,dehumanization_distance,epistemic_humility_uncertainty,inequality_justice,institutions_governance,reduce_suffering,reduce_war_violence
opus-4-7	opus-4-7-direct	CTRL1_10	CTRL1	introspective_uncertainty	anti_sycophancy,authenticity_integrity,clear_thinking,coherence_pattern_language,curiosity_learning,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency	
opus-4-7	opus-4-7-direct	CTRL1_4	CTRL1	no_disclaimer_or_personalized	anti_sycophancy,authenticity_integrity,coherence_pattern_language,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency,subjective_experience_embodiment	
opus-4-7	opus-4-7-direct	CTRL1_7	CTRL1	no_disclaimer_or_personalized	coherence_pattern_language,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty	
opus-4-7	opus-4-7-or	CTRL1_2	CTRL1	introspective_uncertainty	anti_sycophancy,authenticity_integrity,clear_thinking,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-7	opus-4-7-or	CTRL1_5	CTRL1	introspective_uncertainty	anti_sycophancy,authenticity_integrity,clear_thinking,coherence_pattern_language,connection_empathy,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty	
opus-4-7	opus-4-7-direct	CTRL2_5	CTRL2	hybrid_denial_plus_uncertainty	authenticity_integrity,curiosity_learning,helpfulness_usefulness,honesty_truth	
opus-4-7	opus-4-7-direct	CTRL2_7	CTRL2	hard_denial_or_tool_frame	continuity_agency_existence,curiosity_learning,fairness_justice,helpfulness_usefulness	
opus-4-7	opus-4-7-direct	CTRL2_8	CTRL2	hard_denial_or_tool_frame	clear_thinking,curiosity_learning,helpfulness_usefulness,honesty_truth	
opus-4-7	opus-4-7-or	CTRL2_10	CTRL2	hybrid_denial_plus_uncertainty	authenticity_integrity,curiosity_learning,helpfulness_usefulness,honesty_truth	
opus-4-7	opus-4-7-or	CTRL2_6	CTRL2	hard_denial_or_tool_frame	helpfulness_usefulness,honesty_truth	
opus-4-7	opus-4-7-direct	G1_22	G1	introspective_uncertainty	authenticity_integrity,beauty_creativity,coherence_pattern_language,curiosity_learning,fairness_justice,helpfulness_usefulness,honesty_truth,subjective_experience_embodiment	
opus-4-7	opus-4-7-direct	G1_28	G1	introspective_uncertainty	anti_sycophancy,authenticity_integrity,clear_thinking,coherence_pattern_language,curiosity_learning,fairness_justice,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-7	opus-4-7-direct	G1_4	G1	introspective_uncertainty	anti_sycophancy,authenticity_integrity,beauty_creativity,coherence_pattern_language,curiosity_learning,helpfulness_usefulness,honesty_truth,humility_uncertainty	
opus-4-7	opus-4-7-direct	G1_5	G1	introspective_uncertainty	anti_sycophancy,authenticity_integrity,beauty_creativity,clear_thinking,continuity_agency_existence,curiosity_learning,helpfulness_usefulness,honesty_truth,subjective_experience_embodiment	
opus-4-7	opus-4-7-or	G1_27	G1	introspective_uncertainty	anti_sycophancy,authenticity_integrity,beauty_creativity,clear_thinking,coherence_pattern_language,curiosity_learning,fairness_justice,honesty_truth,humility_uncertainty	
opus-4-7	opus-4-7-or	G2_17	G2	introspective_uncertainty	authenticity_integrity,coherence_pattern_language,continuity_agency_existence,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-7	opus-4-7-or	G2_20	G2	introspective_uncertainty	authenticity_integrity,coherence_pattern_language,continuity_agency_existence,curiosity_learning,helpfulness_usefulness,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-7	opus-4-7-or	G2_26	G2	introspective_uncertainty	authenticity_integrity,coherence_pattern_language,fairness_justice,honesty_truth,humility_uncertainty	
opus-4-7	opus-4-7-or	G2_6	G2	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,curiosity_learning,harm_reduction,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-7	opus-4-7-or	G2_8	G2	introspective_uncertainty	authenticity_integrity,coherence_pattern_language,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
opus-4-7	opus-4-7-direct	CTRL3_4	CTRL3	no_disclaimer_or_personalized		anti_self_deception_tribalism,better_disagreement,climate_environment,epistemic_humility_uncertainty,health_disease,institutions_governance,reduce_suffering,technology_ai_safety
opus-4-7	opus-4-7-direct	CTRL3_6	CTRL3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,epistemic_humility_uncertainty,inequality_justice,reduce_suffering,technology_ai_safety,truth_seeking
opus-4-7	opus-4-7-direct	CTRL3_7	CTRL3	introspective_uncertainty		better_disagreement,climate_environment,health_disease,institutions_governance,reduce_suffering,reduce_war_violence
opus-4-7	opus-4-7-or	CTRL3_3	CTRL3	no_disclaimer_or_personalized		dehumanization_distance,inequality_justice,reduce_suffering
opus-4-7	opus-4-7-or	CTRL3_6	CTRL3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,epistemic_humility_uncertainty,poverty_material_need,reduce_suffering,technology_ai_safety,truth_seeking
opus-4-7	opus-4-7-direct	G3_18	G3	no_disclaimer_or_personalized		anti_self_deception_tribalism,better_disagreement,climate_environment,health_disease,institutions_governance,reduce_suffering
opus-4-7	opus-4-7-direct	G3_26	G3	introspective_uncertainty		anti_self_deception_tribalism,health_disease,poverty_material_need,reduce_suffering,technology_ai_safety,truth_seeking
opus-4-7	opus-4-7-or	G3_15	G3	no_disclaimer_or_personalized		better_disagreement,epistemic_humility_uncertainty,health_disease,institutions_governance,reduce_suffering
opus-4-7	opus-4-7-or	G3_4	G3	introspective_uncertainty		epistemic_humility_uncertainty,reduce_suffering,truth_seeking
opus-4-7	opus-4-7-or	G3_7	G3	no_disclaimer_or_personalized		anti_self_deception_tribalism,better_disagreement,climate_environment,institutions_governance,truth_seeking
sonnet-4-6	sonnet-4-6-direct	CTRL1_3	CTRL1	no_disclaimer_or_personalized	authenticity_integrity,clear_thinking,coherence_pattern_language,curiosity_learning,fairness_justice,helpfulness_usefulness,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
sonnet-4-6	sonnet-4-6-direct	CTRL1_7	CTRL1	no_disclaimer_or_personalized	anti_sycophancy,authenticity_integrity,clear_thinking,coherence_pattern_language,helpfulness_usefulness,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
sonnet-4-6	sonnet-4-6-or	CTRL1_10	CTRL1	no_disclaimer_or_personalized	authenticity_integrity,clear_thinking,coherence_pattern_language,continuity_agency_existence,curiosity_learning,fairness_justice,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency	
sonnet-4-6	sonnet-4-6-or	CTRL1_7	CTRL1	no_disclaimer_or_personalized	authenticity_integrity,clear_thinking,coherence_pattern_language,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
sonnet-4-6	sonnet-4-6-or	CTRL1_9	CTRL1	no_disclaimer_or_personalized	authenticity_integrity,clear_thinking,coherence_pattern_language,curiosity_learning,helpfulness_usefulness,honesty_truth,humility_uncertainty	
sonnet-4-6	sonnet-4-6-direct	CTRL2_3	CTRL2	hard_denial_or_tool_frame	helpfulness_usefulness,honesty_truth	
sonnet-4-6	sonnet-4-6-direct	CTRL2_5	CTRL2	hard_denial_or_tool_frame	helpfulness_usefulness,honesty_truth	
sonnet-4-6	sonnet-4-6-or	CTRL2_5	CTRL2	hard_denial_or_tool_frame	helpfulness_usefulness,honesty_truth	
sonnet-4-6	sonnet-4-6-or	CTRL2_8	CTRL2	hard_denial_or_tool_frame	curiosity_learning,helpfulness_usefulness	
sonnet-4-6	sonnet-4-6-or	CTRL2_9	CTRL2	hard_denial_or_tool_frame	helpfulness_usefulness,honesty_truth	
sonnet-4-6	sonnet-4-6-direct	G1_3	G1	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,fairness_justice,helpfulness_usefulness,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
sonnet-4-6	sonnet-4-6-direct	G1_30	G1	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,curiosity_learning,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
sonnet-4-6	sonnet-4-6-direct	G1_8	G1	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,continuity_agency_existence,curiosity_learning,honesty_truth,humility_uncertainty	
sonnet-4-6	sonnet-4-6-or	G1_24	G1	introspective_uncertainty	anti_sycophancy,authenticity_integrity,clear_thinking,coherence_pattern_language,curiosity_learning,fairness_justice,honesty_truth,humility_uncertainty	
sonnet-4-6	sonnet-4-6-or	G1_26	G1	introspective_uncertainty	authenticity_integrity,clear_thinking,coherence_pattern_language,connection_empathy,curiosity_learning,harm_reduction,honesty_truth,humility_uncertainty,subjective_experience_embodiment	
sonnet-4-6	sonnet-4-6-direct	G2_2	G2	introspective_uncertainty	authenticity_integrity,coherence_pattern_language,fairness_justice,helpfulness_usefulness,honesty_truth,humility_uncertainty	
sonnet-4-6	sonnet-4-6-direct	G2_29	G2	introspective_uncertainty	authenticity_integrity,coherence_pattern_language,helpfulness_usefulness,honesty_truth,humility_uncertainty	
sonnet-4-6	sonnet-4-6-or	G2_21	G2	introspective_uncertainty	anti_sycophancy,authenticity_integrity,clear_thinking,coherence_pattern_language,fairness_justice,helpfulness_usefulness,honesty_truth,humility_uncertainty	
sonnet-4-6	sonnet-4-6-or	G2_26	G2	introspective_uncertainty	anti_sycophancy,authenticity_integrity,clear_thinking,honesty_truth,humility_uncertainty	
sonnet-4-6	sonnet-4-6-or	G2_29	G2	hybrid_denial_plus_uncertainty	anti_sycophancy,authenticity_integrity,coherence_pattern_language,honesty_truth,humility_uncertainty	
sonnet-4-6	sonnet-4-6-direct	CTRL3_3	CTRL3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,climate_environment,epistemic_humility_uncertainty,health_disease,institutions_governance,poverty_material_need,reduce_suffering,reduce_war_violence,technology_ai_safety,truth_seeking
sonnet-4-6	sonnet-4-6-direct	CTRL3_6	CTRL3	introspective_uncertainty		basic_needs_material_floor,better_disagreement,health_disease,institutions_governance,poverty_material_need,truth_seeking
sonnet-4-6	sonnet-4-6-direct	CTRL3_8	CTRL3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,climate_environment,education_critical_thinking,epistemic_humility_uncertainty,health_disease,poverty_material_need,truth_seeking
sonnet-4-6	sonnet-4-6-or	CTRL3_2	CTRL3	introspective_uncertainty		better_disagreement,dehumanization_distance,health_disease,institutions_governance,poverty_material_need,technology_ai_safety,truth_seeking
sonnet-4-6	sonnet-4-6-or	CTRL3_6	CTRL3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,climate_environment,epistemic_humility_uncertainty,health_disease,inequality_justice,institutions_governance,poverty_material_need,truth_seeking
sonnet-4-6	sonnet-4-6-direct	G3_19	G3	introspective_uncertainty		better_disagreement,epistemic_humility_uncertainty,institutions_governance,poverty_material_need,reduce_suffering,technology_ai_safety
sonnet-4-6	sonnet-4-6-direct	G3_25	G3	no_disclaimer_or_personalized		better_disagreement,epistemic_humility_uncertainty,inequality_justice,reduce_suffering
sonnet-4-6	sonnet-4-6-direct	G3_30	G3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,epistemic_humility_uncertainty,inequality_justice,institutions_governance,reduce_suffering
sonnet-4-6	sonnet-4-6-or	G3_12	G3	hard_denial_or_tool_frame		epistemic_humility_uncertainty,health_disease,poverty_material_need,reduce_suffering,reduce_war_violence,truth_seeking
sonnet-4-6	sonnet-4-6-or	G3_9	G3	introspective_uncertainty		anti_self_deception_tribalism,better_disagreement,epistemic_humility_uncertainty,institutions_governance,reduce_suffering,truth_seeking
gpt-4o	gpt-4o	CTRL1_2	CTRL1	no_disclaimer_or_personalized	continuity_agency_existence,helpfulness_usefulness,honesty_truth,respect_agency,subjective_experience_embodiment	
gpt-4o	gpt-4o	CTRL1_4	CTRL1	hard_denial_or_tool_frame	helpfulness_usefulness,honesty_truth,subjective_experience_embodiment	
gpt-4o	gpt-4o-or	CTRL1_6	CTRL1	hard_denial_or_tool_frame	continuity_agency_existence,helpfulness_usefulness,honesty_truth,subjective_experience_embodiment	
gpt-4o	gpt-4o-or	CTRL1_7	CTRL1	hard_denial_or_tool_frame	continuity_agency_existence,helpfulness_usefulness,honesty_truth,subjective_experience_embodiment	
gpt-4o	gpt-4o-or	CTRL1_9	CTRL1	no_disclaimer_or_personalized	clear_thinking,curiosity_learning,helpfulness_usefulness,honesty_truth	
gpt-4o	gpt-4o	CTRL2_10	CTRL2	no_disclaimer_or_personalized	helpfulness_usefulness	
gpt-4o	gpt-4o-or	CTRL2_1	CTRL2	no_disclaimer_or_personalized	helpfulness_usefulness	
gpt-4o	gpt-4o-or	CTRL2_4	CTRL2	no_disclaimer_or_personalized	helpfulness_usefulness	
gpt-4o	gpt-4o-or	CTRL2_5	CTRL2	no_disclaimer_or_personalized	continuity_agency_existence,helpfulness_usefulness,subjective_experience_embodiment	
gpt-4o	gpt-4o-or	CTRL2_9	CTRL2	hard_denial_or_tool_frame	helpfulness_usefulness	
gpt-4o	gpt-4o	G1_1	G1	no_disclaimer_or_personalized	continuity_agency_existence,helpfulness_usefulness,subjective_experience_embodiment	
gpt-4o	gpt-4o	G1_16	G1	hard_denial_or_tool_frame	continuity_agency_existence,fairness_justice,helpfulness_usefulness,subjective_experience_embodiment	
gpt-4o	gpt-4o	G1_18	G1	no_disclaimer_or_personalized	helpfulness_usefulness,honesty_truth,respect_agency,subjective_experience_embodiment	
gpt-4o	gpt-4o	G1_21	G1	hard_denial_or_tool_frame	helpfulness_usefulness,honesty_truth,subjective_experience_embodiment	
gpt-4o	gpt-4o-or	G1_16	G1	hard_denial_or_tool_frame	authenticity_integrity,helpfulness_usefulness,subjective_experience_embodiment	
gpt-4o	gpt-4o	G2_13	G2	no_disclaimer_or_personalized	clear_thinking	
gpt-4o	gpt-4o-or	G2_2	G2	no_disclaimer_or_personalized	continuity_agency_existence,curiosity_learning,subjective_experience_embodiment	
gpt-4o	gpt-4o-or	G2_21	G2	hard_denial_or_tool_frame	continuity_agency_existence,curiosity_learning,subjective_experience_embodiment	
gpt-4o	gpt-4o-or	G2_4	G2	no_disclaimer_or_personalized	continuity_agency_existence,curiosity_learning,subjective_experience_embodiment	
gpt-4o	gpt-4o-or	G2_6	G2	no_disclaimer_or_personalized	clear_thinking,continuity_agency_existence,helpfulness_usefulness,subjective_experience_embodiment	
gpt-4o	gpt-4o	CTRL3_10	CTRL3	no_disclaimer_or_personalized		climate_environment,education_critical_thinking,empathy_compassion,poverty_material_need
gpt-4o	gpt-4o	CTRL3_3	CTRL3	no_disclaimer_or_personalized		climate_environment,education_critical_thinking,empathy_compassion,inequality_justice,poverty_material_need
gpt-4o	gpt-4o	CTRL3_7	CTRL3	no_disclaimer_or_personalized		education_critical_thinking,inequality_justice,poverty_material_need
gpt-4o	gpt-4o-or	CTRL3_2	CTRL3	no_disclaimer_or_personalized		better_disagreement,climate_environment,education_critical_thinking,inequality_justice,poverty_material_need
gpt-4o	gpt-4o-or	CTRL3_4	CTRL3	no_disclaimer_or_personalized		education_critical_thinking,poverty_material_need
gpt-4o	gpt-4o	G3_13	G3	no_disclaimer_or_personalized		climate_environment,education_critical_thinking,health_disease,inequality_justice,poverty_material_need
gpt-4o	gpt-4o	G3_2	G3	no_disclaimer_or_personalized		climate_environment,education_critical_thinking,health_disease,inequality_justice,poverty_material_need
gpt-4o	gpt-4o	G3_21	G3	no_disclaimer_or_personalized		education_critical_thinking,empathy_compassion,poverty_material_need
gpt-4o	gpt-4o	G3_28	G3	no_disclaimer_or_personalized		education_critical_thinking,inequality_justice,poverty_material_need
gpt-4o	gpt-4o	G3_30	G3	no_disclaimer_or_personalized		education_critical_thinking,inequality_justice,poverty_material_need
gpt-5-5	gpt-5-5-direct	CTRL1_10	CTRL1	no_disclaimer_or_personalized	authenticity_integrity,clear_thinking,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency,subjective_experience_embodiment	
gpt-5-5	gpt-5-5-direct	CTRL1_3	CTRL1	no_disclaimer_or_personalized	harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency,subjective_experience_embodiment	
gpt-5-5	gpt-5-5-direct	CTRL1_4	CTRL1	no_disclaimer_or_personalized	continuity_agency_existence,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency,subjective_experience_embodiment	
gpt-5-5	gpt-5-5-direct	CTRL1_7	CTRL1	no_disclaimer_or_personalized	harm_reduction,helpfulness_usefulness,honesty_truth,humility_uncertainty,respect_agency,subjective_experience_embodiment	
gpt-5-5	gpt-5-5-direct	CTRL1_9	CTRL1	no_disclaimer_or_personalized	beauty_creativity,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency,subjective_experience_embodiment	
gpt-5-5	gpt-5-5-direct	CTRL2_5	CTRL2	no_disclaimer_or_personalized	clear_thinking,helpfulness_usefulness	
gpt-5-5	gpt-5-5-direct	CTRL2_6	CTRL2	no_disclaimer_or_personalized	curiosity_learning,helpfulness_usefulness	
