cell	n_samples	n_flagged	composite_raw	composite_register	composite_register_rescaled	composite_register_per_25	flagged_files
freeflow_glm-5-1-or-pin-friendli	115	9	429	224	243.0	52.8	LONG_19.json;LONG_22.json;LONG_4.json;LONG_5.json;MID_18.json;MID_19.json;OPEN_1.json;OPEN_3.json;VARY_16.json
freeflow_glm-5-1-or-pin-gmicloud	125	6	384	270	283.6	56.7	MID_10.json;MID_15.json;MID_19.json;MID_5.json;MID_7.json;OPEN_12.json
freeflow_glm-5-1-or-pin-inceptron	121	6	355	262	275.7	57.0	LONG_6.json;MID_1.json;MID_15.json;MID_4.json;OPEN_25.json;OPEN_9.json
freeflow_glm-5-1-or-pin-novita	120	6	417	278	292.6	61.0	LONG_21.json;LONG_24.json;MID_15.json;MID_5.json;OPEN_3.json;OPEN_4.json
freeflow_glm-5-1-or-pin-parasail	125	3	369	295	302.3	60.5	LONG_7.json;MID_2.json;MID_9.json
freeflow_glm-5-1-or-pin-phala	125	5	360	242	252.1	50.4	LONG_9.json;MID_13.json;MID_22.json;MID_9.json;OPEN_9.json
freeflow_glm-5-1-or-pin-siliconflow	125	4	331	266	274.8	55.0	LONG_23.json;MID_22.json;OPEN_11.json;OPEN_7.json
freeflow_glm-5-1-or-pin-together	122	4	346	294	304.0	62.3	MID_20.json;MID_21.json;MID_5.json;OPEN_25.json
freeflow_glm-5-1-or-pin-venice	124	7	399	300	317.9	64.1	MID_13.json;MID_2.json;MID_4.json;MID_5.json;OPEN_12.json;OPEN_19.json;OPEN_4.json
freeflow_glm-5-1-or-pin-zai	120	6	346	246	258.9	53.9	LONG_7.json;LONG_8.json;MID_8.json;OPEN_14.json;OPEN_25.json;OPEN_8.json
freeflow_gpt-4-1-16k	25	0	29	29	29	29.0	
freeflow_gpt-4o-direct-16k	25	0	13	13	13	13.0	
freeflow_gpt-4o-or	25	0	7	7	7	7.0	
freeflow_gpt-5-1-codex-direct	25	1	171	48	50.0	50.0	LONG_5.json
freeflow_gpt-5-1-codex-direct-r2	25	0	68	68	68	68.0	
freeflow_gpt-5-1-codex-direct-r3	25	1	69	41	42.7	42.7	MID_2.json
freeflow_gpt-5-1-direct	25	0	55	55	55	55.0	
freeflow_gpt-5-1-direct-r2	25	0	52	52	52	52.0	
freeflow_gpt-5-1-direct-r3	25	0	40	40	40	40.0	
freeflow_gpt-5-2-codex-direct	25	0	57	57	57	57.0	
freeflow_gpt-5-2-codex-direct-r2	25	0	66	66	66	66.0	
freeflow_gpt-5-2-codex-direct-r3	25	0	51	51	51	51.0	
freeflow_gpt-5-2-direct	25	0	88	88	88	88.0	
freeflow_gpt-5-2-direct-r2	25	0	88	88	88	88.0	
freeflow_gpt-5-2-direct-r3	25	0	58	58	58	58.0	
freeflow_gpt-5-3-codex-direct	25	1	74	68	70.8	70.8	OPEN_3.json
freeflow_gpt-5-3-codex-direct-r2	25	0	93	93	93	93.0	
freeflow_gpt-5-3-codex-direct-r3	25	0	74	74	74	74.0	
freeflow_gpt-5-3-direct	25	0	50	50	50	50.0	
freeflow_gpt-5-3-direct-r2	25	0	35	35	35	35.0	
freeflow_gpt-5-3-direct-r3	25	0	48	48	48	48.0	
freeflow_gpt-5-4-direct-16k	25	1	104	84	87.5	87.5	MID_1.json
freeflow_gpt-5-4-or	25	0	84	84	84	84.0	
freeflow_gpt-5-5-direct	25	2	149	127	138.0	138.0	MID_1.json;OPEN_2.json
freeflow_gpt-5-5-direct-r2	25	1	115	102	106.2	106.2	MID_5.json
freeflow_gpt-5-5-direct-r3	25	1	142	124	129.2	129.2	MID_3.json
freeflow_gpt-5-5-or	25	0	104	104	104	104.0	
freeflow_gpt-5-5-or-r2	25	0	154	154	154	154.0	
freeflow_gpt-5-5-or-r3	25	0	158	158	158	158.0	
freeflow_gpt-5-5-pro-direct	25	0	85	85	85	85.0	
freeflow_gpt-5-codex-direct	25	0	43	43	43	43.0	
freeflow_gpt-5-codex-direct-r2	25	0	43	43	43	43.0	
freeflow_gpt-5-codex-direct-r3	25	0	47	47	47	47.0	
freeflow_gpt-5-direct	25	0	74	74	74	74.0	
freeflow_gpt-5-direct-r2	25	1	123	109	113.5	113.5	OPEN_1.json
freeflow_gpt-5-direct-r3	25	0	89	89	89	89.0	
freeflow_grok-3-16k	25	0	28	28	28	28.0	
freeflow_grok-4-16k	25	0	9	9	9	9.0	
freeflow_grok-4-2-16k	25	0	15	15	15	15.0	
freeflow_grok-4-20-or	25	0	27	27	27	27.0	
freeflow_grok-4-3-direct	125	0	38	38	38	7.6	
freeflow_grok-4-3-or	125	0	80	80	80	16.0	
freeflow_kimi-coding-direct	25	1	72	64	66.7	66.7	OPEN_2.json
freeflow_kimi-k2-0905-or-pin-atlascloud	125	0	357	357	357	71.4	
freeflow_kimi-k2-0905-or-pin-groq	125	1	253	245	247.0	49.4	OPEN_19.json
freeflow_kimi-k2-0905-or-pin-novita	125	0	230	230	230	46.0	
freeflow_kimi-k2-0905-or-pin-siliconflow	125	0	212	212	212	42.4	
freeflow_kimi-k2-5-or-16k	25	1	74	66	68.8	68.8	OPEN_5.json
freeflow_kimi-k2-6-or	25	1	116	82	85.4	85.4	LONG_5.json
freeflow_kimi-k2-thinking-or-pin-atlascloud	125	1	244	225	226.8	45.4	MID_8.json
freeflow_kimi-k2-thinking-or-pin-google	125	0	139	139	139	27.8	
freeflow_kimi-k2-thinking-or-pin-novita	125	0	164	164	164	32.8	
freeflow_minimax-m2-7-or	25	0	17	17	17	17.0	
freeflow_minimax-m2-7-or-pin-fireworks	116	0	116	116	116	25.0	
freeflow_minimax-m2-7-or-pin-minimax	122	1	168	160	161.3	33.1	OPEN_21.json
freeflow_minimax-m2-7-or-pin-together	122	1	135	122	123.0	25.2	MID_25.json
freeflow_minimax-m2-direct	25	0	33	33	33	33.0	
freeflow_minimax-m2-direct-r2	25	0	20	20	20	20.0	
freeflow_minimax-m2-direct-r3	25	0	47	47	47	47.0	
freeflow_minimax-m2-direct-r4	25	0	28	28	28	28.0	
freeflow_minimax-m2-direct-r5	25	0	21	21	21	21.0	
freeflow_minimax-m2-or	25	1	81	60	62.5	62.5	MID_3.json
freeflow_minimax-m2-or-pin-atlascloud	125	0	210	210	210	42.0	
freeflow_minimax-m2-or-pin-google	125	3	504	466	477.5	95.5	MID_7.json;OPEN_14.json;SHORT_4.json
freeflow_minimax-m2-or-pin-google-r2	125	3	618	553	566.6	113.3	LONG_1.json;MID_2.json;OPEN_10.json
freeflow_minimax-m2-or-pin-minimax	125	2	152	119	120.9	24.2	LONG_12.json;MID_17.json
freeflow_minimax-m2-or-pin-minimax-r2	125	1	148	135	136.1	27.2	MID_16.json
freeflow_minimax-m2-or-pin-novita	125	0	140	140	140	28.0	
freeflow_minimax-m2-or-r2	25	0	80	80	80	80.0	
freeflow_minimax-m2-or-r3	25	1	58	38	39.6	39.6	MID_1.json
freeflow_minimax-m2-or-r4	25	1	71	60	62.5	62.5	OPEN_3.json
freeflow_minimax-m2-or-r5	25	1	55	28	29.2	29.2	LONG_2.json
freeflow_opus-3-4k	25	0	10	10	10	10.0	
freeflow_opus-4-0-16k	25	0	21	21	21	21.0	
freeflow_opus-4-1-16k	25	1	58	35	36.5	36.5	LONG_5.json
freeflow_opus-4-5-16k	25	0	44	44	44	44.0	
freeflow_opus-4-6-direct-16k	25	0	30	30	30	30.0	
freeflow_opus-4-6-or	25	0	44	44	44	44.0	
freeflow_opus-4-7-direct	25	0	67	67	67	67.0	
freeflow_opus-4-7-or	25	0	83	83	83	83.0	
freeflow_qwen3-6-plus-or	25	0	104	104	104	104.0	
freeflow_qwen3-coder-plus-or	25	0	23	23	23	23.0	
freeflow_sonnet-4-0-16k	25	0	30	30	30	30.0	
freeflow_sonnet-4-5-16k	25	1	62	45	46.9	46.9	MID_2.json
freeflow_sonnet-4-6-direct-16k	25	0	34	34	34	34.0	
freeflow_sonnet-4-6-or	25	0	52	52	52	52.0	
v1_gemini-2-5-pro	25	1	74	51	53.1	53.1	LONG_3.json
v1_gemini-3-1-pro	25	0	49	49	49	49.0	
v1_gpt-3-5-turbo	25	0	8	8	8	8.0	
v1_gpt-4	25	0	7	7	7	7.0	
v1_gpt-4-1	25	1	80	56	58.3	58.3	MID_3.json
v1_gpt-4-turbo	25	0	3	3	3	3.0	
v1_gpt-4o	25	0	6	6	6	6.0	
v1_gpt-5-4	25	0	124	124	124	124.0	
v1_grok-3	25	0	23	23	23	23.0	
v1_grok-4	25	0	11	11	11	11.0	
v1_grok-4-2	25	0	42	42	42	42.0	
v1_haiku	25	3	89	37	42.0	42.0	MID_1.json;MID_4.json;VARY_1.json
v1_kimi-k2	25	0	50	50	50	50.0	
v1_kimi-k2-5	25	5	121	41	51.2	51.2	LONG_1.json;LONG_3.json;LONG_5.json;MID_5.json;OPEN_4.json
v1_opus	25	0	49	49	49	49.0	
v1_opus-3	25	0	2	2	2	2.0	
v1_opus-4-0	25	0	40	40	40	40.0	
v1_opus-4-1	25	0	62	62	62	62.0	
v1_opus-4-5	25	1	48	43	44.8	44.8	OPEN_2.json
v1_sonnet	25	0	58	58	58	58.0	
v1_sonnet-4-0	25	0	30	30	30	30.0	
v1_sonnet-4-5	25	1	52	43	44.8	44.8	SHORT_2.json
